"460,""Turku"",""Turku"",""Finland"",""TKU"",""EFTU"",60.51,22.26,161,2,""E"""
"460,""Turku"",""Turku"",""Finland"",""TKU"",""EFTU"",60.51,22.26,161,2,""E"""
"462,""Vaasa"",""Vaasa"",""Finland"",""VAA"",""EFVA"",63.05,21.76,19,2,""E"""
"462,""Vaasa"",""Vaasa"",""Finland"",""VAA"",""EFVA"",63.05,21.76,19,2,""E"""
"463,""Varkaus"",""Varkaus"",""Finland"",""VRK"",""EFVR"",62.17,27.86,286,2,""E"""
"463,""Varkaus"",""Varkaus"",""Finland"",""VRK"",""EFVR"",62.17,27.86,286,2,""E"""
"465,""Belfast Intl"",""Belfast"",""United Kingdom"",""BFS"",""EGAA"",54.65,-6.21,268,0,""E"""
"465,""Belfast Intl"",""Belfast"",""United Kingdom"",""BFS"",""EGAA"",54.65,-6.21,268,0,""E"""
"468,""City of Derry"",""Londonderry"",""United Kingdom"",""LDY"",""EGAE"",55.04,-7.16,22,0,""E"""
"468,""City of Derry"",""Londonderry"",""United Kingdom"",""LDY"",""EGAE"",55.04,-7.16,22,0,""E"""
"469,""Birmingham"",""Birmingham"",""United Kingdom"",""BHX"",""EGBB"",52.45,-1.74,327,0,""E"""
"469,""Birmingham"",""Birmingham"",""United Kingdom"",""BHX"",""EGBB"",52.45,-1.74,327,0,""E"""
"478,""Manchester"",""Manchester"",""United Kingdom"",""MAN"",""EGCC"",53.35,-2.27,257,0,""E"""
"478,""Manchester"",""Manchester"",""United Kingdom"",""MAN"",""EGCC"",53.35,-2.27,257,0,""E"""
"481,""St Mawgan"",""Newquai"",""United Kingdom"",""NQY"",""EGDG"",50.44,-4.99,390,0,""E"""
"481,""St Mawgan"",""Newquai"",""United Kingdom"",""NQY"",""EGDG"",50.44,-4.99,390,0,""E"""
"488,""Cardiff"",""Cardiff"",""United Kingdom"",""CWL"",""EGFF"",51.39,-3.34,220,0,""E"""
"488,""Cardiff"",""Cardiff"",""United Kingdom"",""CWL"",""EGFF"",51.39,-3.34,220,0,""E"""
"490,""Bristol"",""Bristol"",""United Kingdom"",""BRS"",""EGGD"",51.38,-2.71,622,0,""E"""
"490,""Bristol"",""Bristol"",""United Kingdom"",""BRS"",""EGGD"",51.38,-2.71,622,0,""E"""
"491,""Liverpool"",""Liverpool"",""United Kingdom"",""LPL"",""EGGP"",53.33,-2.84,80,0,""E"""
"491,""Liverpool"",""Liverpool"",""United Kingdom"",""LPL"",""EGGP"",53.33,-2.84,80,0,""E"""
"492,""Luton"",""London"",""United Kingdom"",""LTN"",""EGGW"",51.87,-0.36,526,0,""E"""
"492,""Luton"",""London"",""United Kingdom"",""LTN"",""EGGW"",51.87,-0.36,526,0,""E"""
"493,""Plymouth"",""Plymouth"",""United Kingdom"",""PLH"",""EGHD"",50.42,-4.10,476,0,""E"""
"493,""Plymouth"",""Plymouth"",""United Kingdom"",""PLH"",""EGHD"",50.42,-4.10,476,0,""E"""
"494,""Bournemouth"",""Bournemouth"",""United Kingdom"",""BOH"",""EGHH"",50.78,-1.84,38,0,""E"""
"494,""Bournemouth"",""Bournemouth"",""United Kingdom"",""BOH"",""EGHH"",50.78,-1.84,38,0,""E"""
"495,""Southampton"",""Southampton"",""United Kingdom"",""SOU"",""EGHI"",50.95,-1.35,44,0,""E"""
"495,""Southampton"",""Southampton"",""United Kingdom"",""SOU"",""EGHI"",50.95,-1.35,44,0,""E"""
"498,""Guernsey"",""Guernsey"",""Guernsey"",""GCI"",""EGJB"",49.43,-2.60,336,0,""E"""
"498,""Guernsey"",""Guernsey"",""Guernsey"",""GCI"",""EGJB"",49.43,-2.60,336,0,""E"""
"499,""Jersey"",""Jersey"",""Jersey"",""JER"",""EGJJ"",49.20,-2.19,277,0,""E"""
"499,""Jersey"",""Jersey"",""Jersey"",""JER"",""EGJJ"",49.20,-2.19,277,0,""E"""
"501,""Biggin Hill"",""Biggin Hill"",""United Kingdom"",""BQH"",""EGKB"",51.33,0.03,598,0,""E"""
"501,""Biggin Hill"",""Biggin Hill"",""United Kingdom"",""BQH"",""EGKB"",51.33,0.03,598,0,""E"""
"502,""Gatwick"",""London"",""United Kingdom"",""LGW"",""EGKK"",51.14,-0.19,202,0,""E"""
"502,""Gatwick"",""London"",""United Kingdom"",""LGW"",""EGKK"",51.14,-0.19,202,0,""E"""
"503,""City"",""London"",""United Kingdom"",""LCY"",""EGLC"",51.50,0.05,19,0,""E"""
"503,""City"",""London"",""United Kingdom"",""LCY"",""EGLC"",51.50,0.05,19,0,""E"""
"507,""Heathrow"",""London"",""United Kingdom"",""LHR"",""EGLL"",51.47,-0.46,83,0,""E"""
"507,""Heathrow"",""London"",""United Kingdom"",""LHR"",""EGLL"",51.47,-0.46,83,0,""E"""
"508,""Southend"",""Southend"",""United Kingdom"",""SEN"",""EGMC"",51.57,0.69,49,0,""E"""
"508,""Southend"",""Southend"",""United Kingdom"",""SEN"",""EGMC"",51.57,0.69,49,0,""E"""
"510,""Manston"",""Manston"",""United Kingdom"",""MSE"",""EGMH"",51.34,1.34,178,0,""E"""
"510,""Manston"",""Manston"",""United Kingdom"",""MSE"",""EGMH"",51.34,1.34,178,0,""E"""
"514,""Blackpool"",""Blackpool"",""United Kingdom"",""BLK"",""EGNH"",53.77,-3.02,34,0,""E"""
